"","short","long","own"
"1","Fem1","Femur.1","Fem"
"2","Fem1l","Femur.1.left","Femur.left"
"3","Fem1r","Femur.1.right","Femur.right"
"4","Fem2","Femur.2",""
"5","Fem2l","Femur.2.left",""
"6","Fem2r","Femur.2.right",""
"7","Fib1","Fibula.1",""
"8","Fib1l","Fibula.1.left","Fibula.left"
"9","Fib1r","Fibula.1.right","Fibula.right"
"10","Hum1","Humerus.1","Hum"
"11","Hum1a","Humerus.1a",""
"12","Hum1al","Humerus.1a.left",""
"13","Hum1ar","Humerus.1a.right",""
"14","Hum1l","Humerus.1.left","Humerus.left"
"15","Hum1r","Humerus.1.right","Humerus.right"
"16","Hum2","Humerus.2",""
"17","Hum2l","Humerus.2.left",""
"18","Hum2r","Humerus.2.right",""
"19","Rad1","Radius.1","Rad"
"20","Rad1b","Radius.1b",""
"21","Rad1bl","Radius.1b.left",""
"22","Rad1br","Radius.1b.right",""
"23","Rad1l","Radius.1.left","Radius.left"
"24","Rad1r","Radius.1.right","Radius.right"
"25","Rad2","Radius.2",""
"26","Rad2l","Radius.2.left",""
"27","Rad2r","Radius.2.right",""
"28","Tib1","Tibia.1","Tib"
"29","Tib1a","Tibia.1a",""
"30","Tib1al","Tibia.1a.left",""
"31","Tib1ar","Tibia.1a.right",""
"32","Tib1b","Tibia.1b",""
"33","Tib1bl","Tibia.1b.left",""
"34","Tib1br","Tibia.1b.right",""
"35","Tib1l","Tibia.1.left","Tibia.left"
"36","Tib1r","Tibia.1.right","Tibia.right"
"37","Uln1","Ulna.1","Ulna"
"38","Uln1l","Ulna.1.left","Ulna.left"
"39","Uln1r","Ulna.1.right","Ulna.right"
"40","Uln2","Ulna.2",""
"41","Uln2l","Ulna.2.left",""
"42","Uln2r","Ulna.2.right",""
